Music,Melody,Headphones,Ipod,Listen,Rhapsody
Bacon,Ham,Pig,Canadian,Breakfast,Strips
Jaws,Shark,Face,Bone,Teeth,Mouth
Digest,Readers',Food,Stomach,Intake,Chew
Syringe,Shot,Poison,Needle,Shot,Vaccination
Innocent,Angel,Good,White,Little,Blameless
Mascot,Animal,Team,Costume,Suit,Cheer
Scheme,Color,Design,Plan,Program,Trick
Build,Blocks,Bear,Tools,Architect,Wood
Achieve,Accomplish,Done,Finished,Goal,Plan
Rover,Red,Range,Land,Space,Pirate
Blade,Roller,Knife,Sharpen,Skate,Point
Material,Medium,Plastic,Cotton,Wool,Fabric
Teenagers,Young,License,School,Reckless,Immature
Boardroom,Work,Discuss,Terms,Meeting,Proposal
Elf,Movie,Workshop,Small,Toys,Ears
Wheat,Cereal,Thins,Bread,Pasta,Feed
Spirit,School,Cheerleader,Smile,Yell,Happy
Package,Fedex,Tape,Mail,Postal,Send
Agree,Concur,Same,Compromise,Contract,Together
Memory,Think,Remember,Past,Flashback,Childhood
Metallic,Shiny,Gold,Silver,Copper,Bronze
Karaoke,Sing,Bar,Embarrass,Microphone,Stage
Crescent,Roll,Moon,Increase,Sliver,Light
Flamboyant,Flame,Elaborate,Colorful,Curve,Wave
Etiquette,Manners,Conduct,Behavior,Procedure,Social
Reiterate,Redo,Repeat,Again,Over,State
Grudge,Movie,Unwilling,Cold,Hold,Reluctant
Announce,Proclaim,Tell,Notice,Declare,Indicate
Reggaeton,Music,Puerto,Rico,Rap,Caribbean
Puppet,Sock,Marionette,Strings,Pinocchio,Shadow
Influence,Culture,Sway,Weight,Credit,Force
Slender,Slim,Thin,Narrow,Proportion,Limited
Endeavor,Adventure,Attempt,Path,Purpose,Try
Credit,Card,Merit,Card,Bank,Honor
Hive,Bee,Honey,Comb,Nest,Colony
Wise,Smart,Knowing,Scholar,Old,Aware
Cobra,Snake,Reptile,Slither,Green,Rats
Dangerous,Injury,Harm,Daredevil,Damage,Wild
Brooding,Sulking,Dissapointed,Facial,Expression,Sour
Conjure,Spell,Wizard,Witch,Magic,Wand
Rapid,Quick,Fire,Fast,Flowing,Cascade
Gaze,Eyes,Stare,Intent,Time,Look
Wrath,Bad,Evil,Power,Villain,Throne
Soothe,Calm,Tranquil,Spa,Feeling,Relax
Nest,Animal,Empty,Rest,Retreat,Bird
Abyss,Horizon,Black,Far,Out,Sky
Features,Facial,Movies,Cinema,Options,Includes
Penance,Forgiveness,Consequence,Sin,Remorse,Sentence
Antics,Behavior,Wild,Negative,Games,Childish
Acute,Small,Subtle,Triangle,Less,Geometry
Vain,Shallow,Ego,Selfish,Impure,Narcissist
Dismal,Sad,Dreary,Depressing,Dark,Mood
Desend,Come,Down,Flight,Steps,Opposite
Rank,Order,Military,Officer,Class,Number
Origin,Root,From,Derive,Culture,Heritage
Surface,Top,Exterior,Plane,Outward,Rind
Tint,Hair,Color,Darken,Windows,Card
Tendency,Proclivity,Expected,Inclination,Common,Trait
Disguise,Pseudonym,Mask,Change,Conceal,Obsure
Dignity,Merit,Worthy,High,Position,Head
Quake,Shake,Tremble,Earth,California,Scale
Pursuit,Police,Offender,Chase,Live,Search
Quaint,Simple,Quiet,Village,Old,Town
Serf,Slave,Servant,Helper,Old,European
Intolerant,Ignorant,Impatient,Narrow,Old,View
Technology,New,Current,Latest,Old,Battery
Deposit,Put,Place,Bank,Money,Save
Rage,Frenzy,Anger,Emotion,Popular,Wrath
Current,Update,Event,News,Abreast,Now
Consume,Drink,Input,Liquid,Digest,Food
Generation,Gap,Blunder,New,Future,Leaders
Shelter,Home,Animal,Help,Roof,Necessary
Conceal,Hide,Secrets,Cover-up,Mask,Undisclosed
Deprive,Miss,Unkown,Without,Longing,Withheld
Sinful,Devil,Immoral,Evil,Black,Horrible
Sanction,Approve,Authority,Permit,Clearance,Consent
Cease,Stop,Suddenly,Hault,End,Preserve
Seal,Confirm,Secure,Stamp,Flipper,Authenticate
Instinct,Gut,Know,Natural,Inherent,Species
Hesitate,Stumble,Wait,Unsure,Pause,Decide
Pinch,Penny,Fingers,Pain,Hurt,Inch
Adopt,Foster,Accept,Choose,Child,Care
Objective,Purpose,Intention,Goal,Desire,Reason
Theory,Idea,Belief,Prove,Hypothesis,Explanation
Verb,Action,Speech,Word,Sentence,Grammar
Cumulative,Rolling,Growing,Total,Whole,Grade
Scholarship,Recognition,Award,College,Academic,Merit
Feminist,Movement,Strong,Independent,Belief,Expression
Imagery,Style,Function,Visualize,Picture,Book
Represent,Symbol,Stand,Mean,Allude,Model
Preconceived,Reformation,Heaven,Belief,Determined,Hell
Poison,Chemical,Injection,Murder,Death,Cyanide
Critical,Judgmental,Comment,Watch,Study,Analysis
Galaxy,Space,Milky,Way,Stars,Gas
Excuse,Apology,Dismiss,Release,Justify,Reason
Granite,Counters,Permeable,Stone,Rock,Expensive
Habitat,Place,Home,Animal,Rainforest,Humanity
Appetizer,Small,Gourmet,Finger,Food,Meal
Appetizer,Fluid,Smoke,Cigarette,Fireworks,Flame
Cigar,Cuban,Brown,Long,Smoke,Tobacco
Wine,Red,White,Grapes,Chardonnay,Vineyard
Carnival,Fair,Funnel,Candy,Rides,Tickets
Silly,Foolish,Dazed,Clown,Unimportant,Absurd
Sprinkles,Jimmies,Topping,Rainbow,Chocolate,Sundae
Rugged,Uneven,Rough,Strength,Tough,Mountains
Turntable,DJ,Club,Music,Spin,Scratch
Cathedral,Ceilings,Church,Singing,Catholic,High
Appendix,Surgery,Remove,Cream,Burst,Jello
Fiber,Metamucil,Daily,Vegetables,Fruit,Bran
Recite,Repeat,Memorize,Retell,Read,Aloud
Antenna,Anthropod,Head,Insect,Rod,Wire
Dissolve,Tablet,Water,Solute,Solvent,Dilute
Obsolete,Unused,Style,Current,Ineffective,Old
Flourish,Thrive,Grow,Prosper,Improve,Good
Exemplary,Prestigious,Example,Excellent,Best,Work
Tissue,Soft,Kleenex,Nose,Absorbent,White
Consign,Care,Entrust,Deliver,Behalf,Send
Skew,Slant,Twist,Move,Turn,Distort
Detest,Hate,Dislike,Strong,Anger,Loathe
Sabotage,Destruction,Reputation,Interfere,Change,Evil
Revival,Comeback,Fame,Death,Hospital,Star
Promote,Educate,Sell,Commerical,Industry,Product
Prevail,Win,Success,Strong,Handle,Push
Solemn,Serious,Somber,Reserved,Tone,Promise
Introvert,Shy,Self,Own,Concerned,Ideas
Macaroni,Pasta,Cheese,Easy,Wheat,Salad
Prying,Probing,Interfering,Searching,Pursuing,Looking
Cave,Shelter,Mountain,Hole,Prehistoric,Dinosaurs
Remorse,Guilt,Pain,Sin,Regret,Sorrow
Transparent,Thin,Overhead,Air,Clear,Plastics
Ethics,Business,Law,Proper,Behavior,Appropriate
Cultivate,Raise,Grow,Improve,Garden,Children
Erase,Delete,Pencil,Remove,Extinguish,Written
Devoted,Dedicated,TRUE,Loyal,Committed,Caring
Jeer,Speak,Cry,Negative,Scorn,Mock
Alchemist,Plants,Medicine,Herbs,Natural,Doctor
Curtains,Tapestry,Cover,Window,Blinds,Shade
Apparatus,Machine,Tool,Method,Factory,Part
Inspection,State,Car,Check,Board,Restaurant
Adapted,Adjusted,Accepted,Accustomed,Used,Comfortable
Restore,Repair,Fix,Car,Home,Condition
Anecdote,Story,Tale,Fable,Funny,Interesting
Foist,Pass,FALSE,Genuine,Lie,Trick
Orate,Speech,Talk,Public,Important,Narrate
Prowess,Bravery,Battle,Ability,Courage,Courage
Talcum,Mineral,Powder,Magnesium,Soapy,Fingerprints
Mortgage,House,Loan,Property,Paid,Document
Obliterate,Remove,Destroy,Wipe,Diminish,Break
Rue,Sorrow,Regret,Guilt,Sorry,Feel
Verity,TRUE,Real,Honest,Truthful,Fact
Ominous,Evil,Premonition,Misfortune,Future,Apocalypse
Corridor,Passage,Hallway,Narrow,Rooms,Hidden
Hew,Adhere,Cut,Shape,Chop,Down
Cargo,Pants,Goods,Transport,Airplane,Freight
Pithy,Spongy,Tissue,Short,Point,Direct
Cactus,Prickly,Desert,Flowering,Plant,Dry
Cubical,Office,Seperated,Space,Work,Stuffy
Filch,Steal,Hidden,Sly,Take,Swipe
Respiratory,Breathing,Mouth,In,Out,Nose
Brownie,Dessert,Chocolate,Scout,Rectangle,Nuts
Imcumbent,Hold,Office,Postion,Resting,Mayor
Forum,Discussion,Online,Newspaper,Meeting,Gathering
Nation,People,Community,Government,Territory,Flag
Acrid,Bitter,Taste,Odor,Irritating,Feelings
Hasty,Hurry,Quickly,Fast,Irritable,Anger
Halibut,Flounder,Ocean,Seafood,Flatfish,Animal
Concur,Together,Combine,Agree,Coincide,Accord
Sofa,Couch,Seat,Arms,Bed,Sectional
Panic,Button,Fright,Fear,Attack,Scary
Chortle,Chuckle,Laugh,Snort,Satisfied,Humorous
Epidemic,Flu,Disease,Outbreak,Widespread,Growth
Destiny,Child,Fortune,Future,Power,Outcome
Distress,Suffering,Pain,Misfortune,Danger,Need
Educate,Provide,School,Instruction,Training,Teach
Affinity,Relationship,Deep,Attraction,Close,Marriage
Mercy,Duffy,Blessing,Gentle,Kindness,Relief
Bunk,Bed,Nonsense,Talk,Foolish,Sleep
Crane,Raise,Lift,Truck,Construction,Hook
Mirth,Happy,Laughter,Joyous,Gay,Merry
Rodent,Mouse,Hamster,Small,Mammal,Squirrel
Prank,Joke,Clown,Trick,April,Fool
Janitor,Clean,Care,Jumpsuit,School,Closet
Buzzer,Game,Sound,Beep,Signal,Indication
Illuminate,Bright,Glow,Shining,Beaming,Light
Ensue,Followed,Epilogue,Later,Time,Succeed
Clammy,Cool,Damp,Sticky,Wet,Sick
Glamour,Exciting,Posh,Attractive,Brand,Posh
Calamari,Squid,Food,Fish,Fried,Acquired
Odometer,Car,Vehicle,Distance,Measure,Miles
Demeanor,Manner,Behavior,Conduct,Bearing,Composure
Toil,Trouble,Long,Hard,Labor,Strife
Vocabulary,Define,Explain,Words,Collection,Language
Increase,Greater,More,Expand,Numerous,Up
Emit,Gases,Carbon,Footprint,Eject,Give
Alias,Demeanor,Assumed,Additional,Name,Hidden
Cinch,Easy,Sure,Cake,Simple,Handled
Good-natured,Primitive,Mammal,Human,Caveman,Unintelligent
Plateau,Flat,Land,High,Stable,Level
Vital,Necessary,Living,Water,Food,Shelter
Devour,Greed,Eat,Use,Destroy,Eager
Illustrate,Clear,Picture,Diagram,Draw,Example
Plethora,Excess,Oversupply,Abundance,Many,Mass
Valentine,Heart,Holiday,Red,Romance,Gift
Determined,Decision,Try,Work,Resolved,Motivated
Despise,Hate,Disrespect,Loathe,Dislike,Disagree
Varsity,Team,Main,Best,School,Advanced
Varsity,Spend,Luxury,Expensive,Royalty,Top
Irk,Bored,Annoy,Bother,Irritate,Interfere
Expel,Drive,Out,Force,Banished,Removed
Impromptu,Spontaneous,Unprepared,Spot,Unrehearsed,New
Ignorant,Uninformed,Unaware,Shallow,Lack,Unknown
Pepperoni,Spicy,Meat,Sausage,Greasy,Pizza
Caboose,Train,Rear,End,Freight,Workers
Derby,Horse,Race,Kentucky,Contese,Homerun
Regulate,Balance,Direct,Authority,Fix,Adjust
Sideburns,Hair,Face,Ears,Elvis,Long
Pivotal,Crucial,Important,Large,Matter,Influential
Modest,Mouse,Shy,COnduct,Clean,Moderate
Commend,Entrust,Praise,Approval,Compliment,Turn
Native,Natural,Instinct,Culutre,Country,Indigenous
Jolly,Spirit,Agreeable,Pleasant,Cheerful,Good
Fray,Worn,Strain,Threads,Edge,Seam
Encourage,Courage,Spirit,Hope,Persuade,Help
Clinic,Medical,Treatment,Cheap,Volunteers,Group
Accomplish,Perform,Finish,Successful,Complete,Cleared
Glitch,Problem,Unexpected,Technology,Minor,Outage
Manipulate,Decieve,Change,Tamper,Manage,Tweak
Ancestor,Descended,Related,Developed,Blood,Family
Cloister,Monastery,Convent,Religious,Isolated,Group
Frown,Displeasure,Sad,Disapproval,Mouth,Expression
Engulf,Flood,Swallow,Overwhelm,Enclose,Flow
Feast,Famine,Buffet,Food,Banquet,Abundance
Reign,Govern,Monarch,Widespread,Authority,Dictate
Imaginary,Fairytale,Fantasy,Unreal,Friend,Invisible
Tango,Ballroom,Latin,Heels,Spicy,Partner
Acquire,Gain,Receive,Effort,Win,Get
Celebrate,Party,Praise,Special,Confetti,Holiday
Fathom,Unit,Depth,Understand,Comprehend,Feet
Horoscope,Sign,Astrology,Stars,Leo,Pisces
Aspire,Work,Dream,Wish,Great,Effort
Avenue,Road,Path,Route,Street,Way
Diverge,Fork,Directions,Apart,Road,Opposite
Mischief,Injury,Harm,Tricks,Joke,Night
Rhythm,Beat,Music,Pattern,Repeat,Regular
Bruise,Hurt,Crush,Injury,Black,Blue
Fatigue,Tired,Army,Stress,Worn-out,Exhausted
Distract,Ignore,Trouble,Divert,Attention,Disturb
Nightmare,Dream,Scared,Frightened,Horrible,Hell
Paradise,Heaven,Brahma,Happiness,Afterlife,Island
Jolt,Quick,Hard,Blow,Jerk,Quick
Anxious,Afraid,Nervous,Worried,High-strung,Edge
Plaid,Fabric,Stipes,Repeated,Skirt,Scottish
Ovation,Praise,Applause,Public,Clap,Audience
Ovation,Field,Sticks,Nets,Game,Score
Socket,Pocket,Opening,Holder,Light,Hole
Cascade,Waterfall,Cleaner,Steep,Niagara,Splash
Deflect,Turn,Aside,Direction,Position,Reflect
Audible,Hear,Loud,Sound,Ear,Speak
Survey,Questions,Examine,Land,Gather,Information
Survey,Female,Adult,Woman,Authority,Lord
Enamel,Teeth,Protection,Layer,Nail,Glossy
Cathedral,Church,Bishop,Pope,Patrick,Worship
Reel,Dance,Scottish,Irish,Movie,Film
Circumstances,Dried,Root,Twizzlers,Candy,Legume
Recede,Back,Away,Hairline,Less,Smaller
Abdicate,Throne,Renounce,Relinquish,Give,Position
Candid,Open,Sincere,Informal,Photo,Posed
Aesthetic,Structure,Beauty,Emotion,Lines,Ballet
Alleviate,Easier,Lessen,Mitigate,Endure,Help
Analogy,Similar,Compare,Patterns,Agreement,Correlation
Animosity,Dislike,Hostility,Hatred,Opposition,Fight
Frugal,Saving,Sparing,Economical,Inexpensive,Budget
Genre,Class,Category,Technique,Form,Content
Futile,Ineffective,Useless,Unsuccessful,Unimportant,Fruitless
Prudent,Wise,Careful,Sober,Discreet,Judicious
Protocol,Agreement,Regulations,Etiquette,Treaty,Data
Mentor,Model,Teacher,Influential,Sponsor,Supporter
Pineapple,Fruit,Hawaiian,Yellow,Spiky,Tropical
Helicopter,Air,Fly,Propeller,Plane,Ride
Fan,Ceiling,Spectator,Relief,Blades,Circulate
Sea,Water,Ocean,Green,Blue,Swim
Crustacean,Crab,Pinchers,Seafood,Ocean,Shell
Immediate,Instant,Delay,Time,Next,Live
Invent,Create,Think,Compose,Conceive,Discover
Condemn,Blame,Convict,Belittle,Criticize,Disapprove
Accuse,Attack,Fault,Charge,Frame,Blame
Clever,Bright,Ingenious,Efficient,Skilled,Sharp
Military,Army,Navy,Forces,Weapons,Defend
Drench,Wet,Dip,Dunk,Flood,Soak
Reputation,Opinion,Character,Name,Esteem,Prestige
Plain,Clear,Obvious,Evident,Apparent,Common
Statement,Speech,Declaration,Account,Remark,Report
Detail,Feature,Ornate,Design,Embroidery,Specific
Duty,Burden,Service,Part,Mission,Obligation
Parabola,Mark,Stroke,Norder,Dash,Straight
Terminal,Final,Deadly,Limit,Lethal,Killing
Audit,Inspection,Analysis,Verification,Review,Check
Calculate,Compute,Sum,Subtract,Value,Determine
Rate,Amount,Fee,Speed,Pace,Measure
Pace,Step,Consistent,Back,Time,Step
Advantage,Ahead,Asset,Benefit,Gain,Favor
Profit,Proceeds,Revenue,Money,Earn,Exploit
Compile,Assemble,Collect,Compose,Edit,Together
Scatter,Sprinkle,Distribute,Divide,Separate,Throw
Sever,Carve,Cut,Slice,Split,Detach
Disconnect,Disjoin,Unlink,Cut,Slice,Unplug
Insert,Include,Introfuce,Place,Stick,Set
Untie,Knot,Loosen,Free,Unfasten,Untangle
Unite,Together,Combine,Join,Connect,Strengthen
Intertwine,Twist,Lace,Network,Weave,Associate
Screen,Covering,Monitor,Divider,Curtain,Eliminate
Recall,Remember,Memory,Cancel,Annul,Extract
Reverse,Contrary,Counter,Inverse,Flip,Opposite
Hermit,Homebody,Loner,Isolated,Alone,Rock
Delicacy,Caviar,Elegant,Rare,Expensive,Gourmet
Delicacy,Express,Explain,Open,Talk,Discuss
Hassle,Bother,Pain,Issue,Nuisance,Problem
Antithesis,Opposite,Contrary,Counter,Reverse,Same
Symmetry,Agree,Balance,Equality,Mirror,Even
Distortion,Contort,Deform,Twist,Morph,Irregular
Pertain,Affect,Associate,Relevant,Regard,Apply
Regard,Attention,Look,Care,Interest,Affection
Worship,Glorification,Idolatry,Prayer,Offering,Veneration
Honor,Praise,Recognize,Tribute,Dignity,Glory
Honor,Recently,Currently,Past,Occurred,Future
Honor,Time,Work,Sick,Maternity,Off
Disrespect,Rude,Insulting,Irreverent,Sarcastic,Desecrate
Organic,Whole,Natural,Healthy,Clean,Expensive
Indulge,Splurge,Chocolate,Extravagant,Extra,Treat
Inherit,Gain,Will,Death,Money,Heirlooms
Public,School,Property,Open,Unrestricted,Shared
Cotton,Sheets,Thread,Count,Egyptian,Bed
Ponder,Think,Time,Slow,Access,Evaluate
Yield,Gain,Profit,Result,Pause,Traffic
Unicorn,Fantasy,Candy,Horse,Rainbow,Fairytale
Doctorate,Honorary,Degree,College,Graduate,Teach
Charge,Positive,Negative,Card,Credit,Crime
Novelty,Extra,Tiny,Unexpected,Gift,Special
Coach,Team,Plan,Play,Leader,Mentor
Coach,Consumed,Stressed,Worried,Surprised,Mixed
Support,Help,Assist,Stand,Agreement,Emotional
Enterprise,Trek,Star,Company,Big,Monopoly
Software,CD,Develop,Program,Game,Computer
Faulty,Broken,Damaged,Altered,Performance,Technology
Excel,Microsoft,Charts,Perform,Well,Succeed
Entry,Through,Door,Arch,Key,Access
Battery,Energizer,Bunny,Electric,Power,Solar
Duet,Sing,Two,Partner,Pair,Karaoke
Pegasus,Mythology,Horse,Wings,Hercules,Fly
Hemoglobin,Blood,Component,Part,test,Veins
Viscosity,Pour,Thickness,Chemistry,Mixture,Measure
Vascular,Suregeon,Veins,Arteries,Blood,Needles
Vascular,Prevent,Lessen,Credit,Allow,Speed
Median,Middle,Average,Math,Life,Data
Coarse,Rock,HArd,Abrasive,Cut,File
Sand,Quartz,Beach,Minerals,Warm,Footprints
Proactive,Take,Stand,Initaitvie,Help,Acne
Sensation,Tingly,Numb,Stars,Trend,Feelings
Cardiac,Arrest,Heart,Blood,Doctor,Exercise
Grain,Wheat,Rye,Flour,Whole,Multiple
Civil,Duty,Court,Dispute,Marriage,Composure
Civil,Tree,Bark,Record,Database,Lincoln
Toward,For,Directions,Forward,Move,Away
Expunge,Repel,Remove,Expel,Rid,Take
Blessing,Wish,Miracle,Prayer,Gift,Hope
Assure,Confirm,Promise,Comfort,Assist,Confidence
Indigenous,Trees,Forests,People,Native,Original
Persona,Identity,Character,Enigma,Imaginary,Creation
Techtonic,Shifting,Plates,Lava,Volcanoes,Crust
Blarney,Patrick,Rock,Stone,Baloney,Flattering
Fuseball,Game,Play,Table,Friends,Midfield
Ventilator,Window,Respirator,Air,Freshner,Oxygen
Residue,Remains,Remnant,Filter,Leftover,Precipitate
Television,The,Tube,Watch,HD,Plasma,Cable
Oil,Paint,Middle East,Fuel,Petroleum,Olive
Cycling,Bike,Livestrong,Spandex,Tour de France
Endangered Species,Bald Eagle,Wildlife,Panda,Preserve,Tigers
Disaster,Tsunami,New Orleans,Plane,Katrina,Aid
Pregnancy,Parent,Abortion,Baby,Secret Life,Ectopic
Designer,Runway,Louis Vuitton,Clothes,Chanel,Prada
One,Single,Air Force,Solo,Metallica,United
City,Skyscraper,New York,Capital,Billboard,Buildings
Internet,Blog Address,Web,Al,Gore,Email
Wiki,Encyclopedia,Internet,Record,Will Smith,Website
Soccer,Football,Kicking,World Cup,Game,Goal
Bombing,Terrorist,Hiroshima,Box Office,Exploding,Atomic
Oceania,Australia,Pacific Islands,Territories,New Zealand,Continents
Ping Pong,Video Game,Paddle,Drinking,Tennis,China
Golf,Hole,Sport,Ball,Volkswagen,Tiger Woods
Art,Paint,Feelings,Medium,Sculpture,Van Gogh
Virus,Computer,Vaccination,Host,AIDS,Swine Flu
Newspaper,Stories,NY Times,Shooting,Knowledge,Information
Car,Wheels,Motor,Auto,Henry Ford,Gasoline
Fame,Celebrity,Famous,Honor,Popularity,Esteem
Donor,Clothes,Organ,Gift,Charitable,Donate
Measurement,Inch,Yardstick,Metres,Miles,Seconds
Dehydrate,Water,Dry,Shortage,Parched,Thirsty
Allergy,Reaction,Pollen,Spring,Benadryl,Sneeze
Judaism,Hanukkah,Bar Mitzvah,Matzah,Menorah,David
Control,Shield,Block,Strain,Separate,Own
Olympics,Sports,Four Years,Medals,Gold,Torch
Pigeon,Rats,Statue,Poop,Cooing Bird,Dove
Watermelon,Big,Fruit,Seedless,Pink,Summer
Approximate,Tentative,Round-up,Estimate,Close,Rough
Batch,Lot,Pack,Group,Parking,Assortment
Christmas,Santa Claus,December,Holiday,Gifts,Reindeer
Casino,Gamble,MGM,Grand Bellagio,Las Vegas,Play
Curl,Perm,Rollers,Hair,Flat Iron,Sleep
Story,Novel,Tale,Narrative,Floor,Bed time
Vanilla,Flavor,Ice Cream,Plain,Extract,Beans
Obituary,Eulogy,Death,Tribute,Notice,Funeral
Despair,Dejected,Gloominess,Sadness,Hopeless,Depression
Publication,Ammunition,Digest,Subscription,Book,Research
Tennis,Racquet,Sports,Wimbledon,Play,Ping Pong
Window,Door,Blinds,Glass,Operating,System,Curtains
Chess,Board Game,Sixty Four,Pawn,Checkmate,Bobby Fischer
Video,YouTube,Camcorder,Recording,Movie,Tapes
Income,Profit,Interest,Earnings,Annum, Monthly
Flashlight,Portable,Source,Fire,Construction,Artificial
Circle,Round,Sphere,Circumference,Diameter,Shape
Precipitation,Rain,Snow,Sleet,Hail,Water
Joker,Card,Hat,Clown,Heath Ledger,Batman
Series,Television,Books,Harry Potter,Order,Sequel
WATCH,look,time,wrist,clock,tic-toc
BIRTHDAY,cake,candle,older,birth,blow
SANTA,CLAUS,Christmas,gifts,sleigh,reindeer,beard
COMPUTER,keyboard,laptop,desktop,programmer,games
PICTURE,camera,film,shot,pose,memory
BED,room,sleep,sheets,nap,rest
INTERNET,wireless,3G,surf,Google,web
LOVE,heart,Valentine,relationship,girlfriend/boyfriend,feeling
BASEBALL,bat,base,home-run,catch,swing
TOWEL,bath,dry,beach,swim,shower
JUNGLE,forest,Tarzan,plants,trees,animals
BALLPEN,write,draw,scribble,list,ink
BOAT,float,water,yacht,sail,ship
DOG,run,bark,bestfriend,cat,catch
MONEY,currency,pay,bank,buy,cash
WATER,liquid,flows,drink,thrist,rain
FINGERS,nails,hands,touch,5,hold
CLOWN,funny,party,magic,nose,birthday
FRAME,picture,photo,display,glass,certificate
SUN,summer,shine,light,yellow,star
KNIFE,cut,cook,slice,steak,sharp
ARMPIT,deodorant,hairy,underarm,odor,shave
HOME,family,birthplace,house,parent,brother/sister
MOVIE,actor/actress,film,video,comedy,action
EXAM,test,study,school,quiz,answer
LIPS,mouth,kiss,face,lipstick,gloss
LOLLIPOP,candy,sweet,suck,lick,stick
CAR,ride,wheels,drive,transportation,auto
GREEN TEA,DRINK,SOFT DRINK,CAFFEINE,CHINA,COLD
TEST,STUDY,LEARN,SCHOOL,TEACHER,ANSWER
COYOTE,WOLF,DOG,PREDATOR,UGLY,FOX
SAILOR,SHIP,SEA,CAPTAIN,BOAT,OCEAN
CACTUS,PLANT,GREEN,NEEDLE,DESERT,WATER
SPAGHETTI,PASTA,NOODLES,MEATBALLS,ITALIAN,TOMATO
RAINCOAT,RAIN,YELLOW,WET,UMBRELLA,OUTSIDE
SAUCEPAN,COOK,POT,KITCHEN,PAN,STIR
PIRATE,SHIP,EVIL,EYEPATCH,SWORD,PISTOL
HARRY POTTER,WIZARD,MOVIE,BOOK,SPELLS,GLASSES
NOSE,SMELL,FACE,SENSE,NOSTRIL,BODY
BALL,AIR,BASKET,BOUNCE,CIRCLE,FOOT
STAMP,RUBBER,LETTER,POSTMAN,POST CARD,POST OFFICE
COFFEE,BROWN,HOT,FLAVORED,ICED,BREWED
BIOLOGY,LIVING,SUBJECT,SCHOOL,CLASS,STUDY
MICKEY MOUSE,CARTOON,DONALD,DAISY,PLUTO,DISNEY
EASY,HARD,SIMPLE,DO,DOES,DIFFICULT
FIRE EXTINGUISHER,SAFETY,SMOLDER,SPRAY,HOSE,RED
DRINK,LIQUID,THIRSTY,WATER,ALCOHOL,SOLID
DESK,OFFICE,WORK,WRITE,COMPUTER,PC
MAILBOX,YARD,HOUSE,POSTOFFICE,FLAG,MAILMAN
ELECTRICITY,EDISON,LIGHTBULB,WATTS,LIGHTNING,POWER
WATCH,TIME,LOOK,CLOCK,WRIST,HOUR
GOLF,BALL,STICK,OUTDOOR,GRASS,SPORT
MAID,CLEANS,LAUNDRY,HOUSE,COOKS,HELP
SUBMARINE,BOAT,WATER,METAL,UNDER,DIVE
HAPPY B-DAY,CAKE,LEMONADE,CHIPS,BIRTHDAY,PARTY
SISTER,SONG,FAMILY,BROTHER,SIBLING,RELATIVE
BARBIE,DOLL,MATEL,KEN,GIRL,TOY
SMELL,NOSE,ODOUR,PERFUME,DEODORANT,FLOWER
SURPISE,PARTY,SHOCK,SCREAM,BIRTHDAY,PRESENT
CUCUMBER,LONG,GREEN,SALAD,VEGETABLE,AYAM BAKAR
KUNG FU,MARTIAL ARTS,CHINA,JACKY CHAN,JET LI,HONG KONG
SUPERMAN,CAPE,FLIGHT,KENT,KRYPTONITE,CLARK KENT
WATER,RAIN,FISH,SEA,DRINK,BOIL
TOE,NAIL,ROUND,BODY PART,SMALL,FEET
COUCH,SIT,COMFORTABLE,SOFT,SOFA,LIVING ROOM
TENNIS,SPORT,RACQUET,NET,BALL,TABLE
SANDWICH,BREAD,LUNCH,MEAT,CHEESE,FOOD
CARPET,WALK,FLOOR,WOOD,SOFT,HOME
SUN GLASSES,MOON,SHADES,OAKLEYS,EYE,NOSE
PICNIC,GARDEN,EAT,DRINKS,SANDWICH,GRASS
CORN,YELLOW,IWAK PEYEK,BUTTER,FRIED,FOOD
BLACK,WHITE,COLOUR,HOLE,BELT,DARK
ROSE,FLOWER,THORNS,BEAUTY,RED,GIFT
MANGA,JAPAN,ANIME,CARTOON,POKEMON,HENTAI
HOT DOG,KETCHUP,MUSTARD,HAMBURGER,AMERICAN,FAST FOOD
RENT,APARTMENT,LEASE,BUDGET,HOUSING,BUY
SUPER,MARIO,COOL,MAN,MR EVERT,AWESOME
HELLO,GOODBYE,HI,GREETINGS,HOLA,KITTY
BROWSE,INTERNET,COMPUTER,INFORMMATION,GOOGLE,SEARCH
RED BULL,ENERGY DRINK,LEMON LIME,POWER,LIQUID,HYDRATE
CRAZY,GILA,NORMAL,MAD,INSANE,PEOPLE
TRAFFIC LIGHT,STOP,ORANGE,RED,GREEN,STREET
GLUE,STICK,PASTE,FIX,SCHOOL,PAPER
SMOOTHIE,FLAVORS,FRUIT,ICE,MIX,STRAWBERRY
PIG,BACON,CURLY TAIL,PINK,FARM ANIMAL,MUD
STAR,SUN,SPACE,GAS,TWINKLE,BRIGHT
SONG,VOICE,MELODY,MUSIC,NOTE,DANCE
UMBRELLA,RAIN,ELLA ELLA,DRY,SONG,WEATHER
HIKING,UBUD,ADVENTURE,HILL,CLIMB,ROCKS
BURGER,FAST FOOD,CHIPS,BREAD,MC DONALDS,SANDWICH
BEARD,HAIR,FACE,MATURE,SANTA CLAUS,LONG
PENALTY,SOCCER,GOAL,FOOTBALL,PUNISHMENT,DEATH
KITTEN,CAT,FURRY,PAW,MEOW,ANIMAL
